"","word","sentiment"
"1","2-faced","negative"
"2","2-faces","negative"
"3","abnormal","negative"
"4","abolish","negative"
"5","abominable","negative"
"6","abominably","negative"
"7","abominate","negative"
"8","abomination","negative"
"9","abort","negative"
"10","aborted","negative"
"11","aborts","negative"
"12","abrade","negative"
"13","abrasive","negative"
"14","abrupt","negative"
"15","abruptly","negative"
"16","abscond","negative"
"17","absence","negative"
"18","absent-minded","negative"
"19","absentee","negative"
"20","absurd","negative"
"21","absurdity","negative"
"22","absurdly","negative"
"23","absurdness","negative"
"24","abuse","negative"
"25","abused","negative"
"26","abuses","negative"
"27","abusive","negative"
"28","abysmal","negative"
"29","abysmally","negative"
"30","abyss","negative"
"31","accidental","negative"
"32","accost","negative"
"33","accursed","negative"
"34","accusation","negative"
"35","accusations","negative"
"36","accuse","negative"
"37","accuses","negative"
"38","accusing","negative"
"39","accusingly","negative"
"40","acerbate","negative"
"41","acerbic","negative"
"42","acerbically","negative"
"43","ache","negative"
"44","ached","negative"
"45","aches","negative"
"46","achey","negative"
"47","aching","negative"
"48","acrid","negative"
"49","acridly","negative"
"50","acridness","negative"
"51","acrimonious","negative"
"52","acrimoniously","negative"
"53","acrimony","negative"
"54","adamant","negative"
"55","adamantly","negative"
"56","addict","negative"
"57","addicted","negative"
"58","addicting","negative"
"59","addicts","negative"
"60","admonish","negative"
"61","admonisher","negative"
"62","admonishingly","negative"
"63","admonishment","negative"
"64","admonition","negative"
"65","adulterate","negative"
"66","adulterated","negative"
"67","adulteration","negative"
"68","adulterier","negative"
"69","adversarial","negative"
"70","adversary","negative"
"71","adverse","negative"
"72","adversity","negative"
"73","afflict","negative"
"74","affliction","negative"
"75","afflictive","negative"
"76","affront","negative"
"77","afraid","negative"
"78","aggravate","negative"
"79","aggravating","negative"
"80","aggravation","negative"
"81","aggression","negative"
"82","aggressive","negative"
"83","aggressiveness","negative"
"84","aggressor","negative"
"85","aggrieve","negative"
"86","aggrieved","negative"
"87","aggrivation","negative"
"88","aghast","negative"
"89","agonies","negative"
"90","agonize","negative"
"91","agonizing","negative"
"92","agonizingly","negative"
"93","agony","negative"
"94","aground","negative"
"95","ail","negative"
"96","ailing","negative"
"97","ailment","negative"
"98","aimless","negative"
"99","alarm","negative"
"100","alarmed","negative"
"101","alarming","negative"
"102","alarmingly","negative"
"103","alienate","negative"
"104","alienated","negative"
"105","alienation","negative"
"106","allegation","negative"
"107","allegations","negative"
"108","allege","negative"
"109","allergic","negative"
"110","allergies","negative"
"111","allergy","negative"
"112","aloof","negative"
"113","altercation","negative"
"114","ambiguity","negative"
"115","ambiguous","negative"
"116","ambivalence","negative"
"117","ambivalent","negative"
"118","ambush","negative"
"119","amiss","negative"
"120","amputate","negative"
"121","anarchism","negative"
"122","anarchist","negative"
"123","anarchistic","negative"
"124","anarchy","negative"
"125","anemic","negative"
"126","anger","negative"
"127","angrily","negative"
"128","angriness","negative"
"129","angry","negative"
"130","anguish","negative"
"131","animosity","negative"
"132","annihilate","negative"
"133","annihilation","negative"
"134","annoy","negative"
"135","annoyance","negative"
"136","annoyances","negative"
"137","annoyed","negative"
"138","annoying","negative"
"139","annoyingly","negative"
"140","annoys","negative"
"141","anomalous","negative"
"142","anomaly","negative"
"143","antagonism","negative"
"144","antagonist","negative"
"145","antagonistic","negative"
"146","antagonize","negative"
"147","anti-","negative"
"148","anti-american","negative"
"149","anti-israeli","negative"
"150","anti-occupation","negative"
"151","anti-proliferation","negative"
"152","anti-semites","negative"
"153","anti-social","negative"
"154","anti-us","negative"
"155","anti-white","negative"
"156","antipathy","negative"
"157","antiquated","negative"
"158","antithetical","negative"
"159","anxieties","negative"
"160","anxiety","negative"
"161","anxious","negative"
"162","anxiously","negative"
"163","anxiousness","negative"
"164","apathetic","negative"
"165","apathetically","negative"
"166","apathy","negative"
"167","apocalypse","negative"
"168","apocalyptic","negative"
"169","apologist","negative"
"170","apologists","negative"
"171","appal","negative"
"172","appall","negative"
"173","appalled","negative"
"174","appalling","negative"
"175","appallingly","negative"
"176","apprehension","negative"
"177","apprehensions","negative"
"178","apprehensive","negative"
"179","apprehensively","negative"
"180","arbitrary","negative"
"181","arcane","negative"
"182","archaic","negative"
"183","arduous","negative"
"184","arduously","negative"
"185","argumentative","negative"
"186","arrogance","negative"
"187","arrogant","negative"
"188","arrogantly","negative"
"189","ashamed","negative"
"190","asinine","negative"
"191","asininely","negative"
"192","asinininity","negative"
"193","askance","negative"
"194","asperse","negative"
"195","aspersion","negative"
"196","aspersions","negative"
"197","assail","negative"
"198","assassin","negative"
"199","assassinate","negative"
"200","assault","negative"
"201","assult","negative"
"202","astray","negative"
"203","asunder","negative"
"204","atrocious","negative"
"205","atrocities","negative"
"206","atrocity","negative"
"207","atrophy","negative"
"208","attack","negative"
"209","attacks","negative"
"210","audacious","negative"
"211","audaciously","negative"
"212","audaciousness","negative"
"213","audacity","negative"
"214","audiciously","negative"
"215","austere","negative"
"216","authoritarian","negative"
"217","autocrat","negative"
"218","autocratic","negative"
"219","avalanche","negative"
"220","avarice","negative"
"221","avaricious","negative"
"222","avariciously","negative"
"223","avenge","negative"
"224","averse","negative"
"225","aversion","negative"
"226","aweful","negative"
"227","awful","negative"
"228","awfully","negative"
"229","awfulness","negative"
"230","awkward","negative"
"231","awkwardness","negative"
"232","ax","negative"
"233","babble","negative"
"234","back-logged","negative"
"235","back-wood","negative"
"236","back-woods","negative"
"237","backache","negative"
"238","backaches","negative"
"239","backaching","negative"
"240","backbite","negative"
"241","backbiting","negative"
"242","backward","negative"
"243","backwardness","negative"
"244","backwood","negative"
"245","backwoods","negative"
"246","bad","negative"
"247","badly","negative"
"248","baffle","negative"
"249","baffled","negative"
"250","bafflement","negative"
"251","baffling","negative"
"252","bait","negative"
"253","balk","negative"
"254","banal","negative"
"255","banalize","negative"
"256","bane","negative"
"257","banish","negative"
"258","banishment","negative"
"259","bankrupt","negative"
"260","barbarian","negative"
"261","barbaric","negative"
"262","barbarically","negative"
"263","barbarity","negative"
"264","barbarous","negative"
"265","barbarously","negative"
"266","barren","negative"
"267","baseless","negative"
"268","bash","negative"
