sentiment,word
competence,able
competence,able_bodied
competence,adept
competence,adroit
competence,assiduous
competence,assured
competence,astute
competence,award_winning
competence,blooming
competence,booming
competence,brainy
competence,celebratory
competence,certified
competence,competence
competence,competent
competence,complete
competence,comprehensive
competence,concern
competence,conclusive
competence,confined
competence,conglomerate
competence,conquering
competence,conscientious
competence,consistent
competence,constant
competence,craftiness
competence,crafty
competence,cunning
competence,dependable
competence,dexterous
competence,diligence
competence,diligent
competence,doingwell
competence,dominant
competence,enterprise
competence,enterprisingness
competence,equipotent
competence,establishment
competence,everlasting
competence,exhaustive
competence,experienced
competence,exultant
competence,fail_safe
competence,firm
competence,first_place
competence,flourishing
competence,foolproof
competence,for_certain
competence,forefront
competence,gainful
competence,genius
competence,get_ahead
competence,gifted
competence,glorious
competence,governance
competence,guarantee
competence,guaranteed
competence,hardworking
competence,hard_working
competence,hi_tech
competence,illustrious
competence,imperishable
competence,in_front
competence,in_charge
competence,industrial
competence,industrialise
competence,industrialised
competence,industrialized
competence,industrious
competence,industriousness
competence,industry
competence,in_no_doubt
competence,intellectual
competence,intelligent
competence,jubilant
competence,knowing
competence,knowledgeable
competence,knowledgeable_about
competence,lasting
competence,leader
competence,license
competence,logical
competence,long_lasting
competence,long_lived
competence,long_suffering
competence,loyal
competence,lucrative
competence,manufacture
competence,marketable
competence,mechanical
competence,mercantile
competence,methodological
competence,meticulous
competence,moneymaking
competence,money_making
competence,outstanding
competence,painstaking
competence,partnership
competence,perpetual
competence,persevering
competence,persistent
competence,poised
competence,potent
competence,prize_winning
competence,procedural
competence,production
competence,profit
competence,profitable
competence,promising
competence,prosper
competence,prospering
competence,prosperous
competence,protected
competence,proud
competence,punctilous
competence,responsible
competence,profit_making
competence,safe
competence,salable
competence,saleable
competence,scientific
competence,secure
competence,self_assured
competence,self_confident
competence,self_possessed
competence,sellable
competence,sheltered
competence,smart
competence,solid
competence,staunch
competence,steadfast
competence,steady
competence,strong
competence,successful
competence,superior
competence,systematic
competence,talented
competence,technical
competence,thorough
competence,thoroughgoing
competence,thriving
competence,tireless
competence,topplace
competence,trade
competence,transnational
competence,triumphal
competence,triumphant
competence,trusty
competence,unattackable
competence,unbeatable
competence,unbeaten
competence,unbendable
competence,undeviating
competence,unfailing
competence,unfaltering
competence,unflagging
competence,unfluctuating
competence,unshakable
competence,unswerving
competence,unwavering
competence,up_and_coming
competence,vendable
competence,vendible
competence,venture
competence,victorious
competence,wily
competence,winning
competence,witty
excitement,active
excitement,aggressive
excitement,artistic
excitement,arty
excitement,audacious
excitement,audacity
excitement,autonomous
excitement,avant_garde
excitement,awe_inspiring
excitement,awesome
excitement,bold
excitement,boldness
excitement,boost
excitement,bracing
excitement,brandnew
excitement,brand_new
excitement,brave
excitement,bravery
excitement,breathtaking
excitement,brisk
excitement,colorful
excitement,colourful
excitement,cool
excitement,courage
excitement,courageous
excitement,courageousness
excitement,courant
excitement,crazy
excitement,creative
excitement,creativity
excitement,crisp
excitement,current
excitement,daring
excitement,dazzling
excitement,designer
excitement,determined
excitement,early
excitement,electrifying
excitement,elevate
excitement,emancipate
excitement,emancipated
excitement,energise
excitement,energising
excitement,energize
excitement,energizing
excitement,enliven
excitement,enlivening
excitement,enterprising
excitement,exalt
excitement,exalting
excitement,excitation
excitement,excite
excitement,excited
excitement,excitement
excitement,exciting
excitement,exhilarate
excitement,exhilarating
excitement,exuberant
excitement,feisty
excitement,forceful
excitement,fresh
excitement,freshness
excitement,gutsy
excitement,happening
excitement,heroic
excitement,heroism
excitement,high_spirited
excitement,hip
excitement,imaginative
excitement,independent
excitement,individual
excitement,innovative
excitement,inspiring
excitement,intrepid
excitement,inventive
excitement,invigorating
excitement,in_vogue
excitement,juvenile
excitement,latest
excitement,liberated
excitement,lifting
excitement,liven_up
excitement,lone
excitement,modern
excitement,modern_day
excitement,modernistic
excitement,modernness
excitement,modish
excitement,moving
excitement,nerve
excitement,new
excitement,newly_arisen
excitement,nifty
excitement,plucky
excitement,present
excitement,present_day
excitement,prevailing
excitement,pristine
excitement,recent
excitement,refreshed
excitement,refreshen
excitement,refreshful
excitement,refreshing
excitement,represent
excitement,resolute
excitement,resourceful
excitement,risky
excitement,rousing
excitement,shake_up
excitement,sharp
excitement,smashing
excitement,sole
excitement,solitary
excitement,solo
excitement,sovereign
excitement,specific
excitement,spine_tingling
excitement,spirited
excitement,state_of_the_art
excitement,stimulating
excitement,stirring
excitement,stout
excitement,strong_willed
excitement,thrilling
excitement,tonic
excitement,trendy
excitement,turn_on
excitement,unconstrained
excitement,undeveloped
excitement,unfettered
excitement,unique
excitement,unmarked
excitement,unmatched
excitement,up_to_date
excitement,up_to_the_minute
excitement,valiant
excitement,venturesome
excitement,vibrant
excitement,vibrate
excitement,vital
excitement,vouge
excitement,young
excitement,youthful
ruggedness,al_fresco
ruggedness,alfresco
ruggedness,animal
ruggedness,animals
ruggedness,arduous
ruggedness,beefy
ruggedness,boisterous
ruggedness,brutal
ruggedness,bumpy
ruggedness,callous
ruggedness,challenge
ruggedness,challenging
ruggedness,coarse
ruggedness,confrontation
ruggedness,cowboy
ruggedness,cragged
ruggedness,craggy
ruggedness,crimson
ruggedness,crudeness
ruggedness,crudity
ruggedness,cruel
ruggedness,dangerous
ruggedness,daunting
ruggedness,daybreak
ruggedness,dayspring
ruggedness,demanding
ruggedness,desert
ruggedness,difficult
ruggedness,durable
ruggedness,effortful
ruggedness,endeavor
ruggedness,endeavour
ruggedness,endure
ruggedness,external
ruggedness,extinct
ruggedness,extreme
ruggedness,extremum
ruggedness,ferocious
ruggedness,forcible
ruggedness,fresco
ruggedness,freshair
ruggedness,frontier
ruggedness,furrow
ruggedness,godforsaken
ruggedness,granitelike
ruggedness,granitic
ruggedness,grating
ruggedness,gravel
ruggedness,grueling
ruggedness,gruelling
ruggedness,hard
ruggedness,hard_boiled
ruggedness,hardened
ruggedness,hard_hitting
ruggedness,harsh
ruggedness,hazardous
ruggedness,heavy_duty
ruggedness,hunt
ruggedness,hunting
ruggedness,huskiness
ruggedness,inhumane
ruggedness,insensitive
ruggedness,irregular
ruggedness,jagged
ruggedness,jeans
ruggedness,jerking
ruggedness,jerky
ruggedness,jolting
ruggedness,jolty
ruggedness,jungle
ruggedness,labourious
ruggedness,leathery
ruggedness,macho
ruggedness,manfully
ruggedness,manly
ruggedness,mannish
ruggedness,masculine
ruggedness,maverick
ruggedness,mountainous
ruggedness,mountains
ruggedness,nerve_racking
ruggedness,nerve_wracking
ruggedness,open_air
ruggedness,outdoor
ruggedness,outdoors
ruggedness,outdoorsy
ruggedness,outer
ruggedness,out_of_door
ruggedness,out_of_doors
